街区,租赁方式,朝向,每月租金,行政区,板块,房屋面积,格局,发布时长
,,,4459,静安,大宁,30.09㎡,1室1厅1卫,"
            自如          "
,,,4000,宝山,顾村,70.81㎡,2室1厅1卫,"
            链家          "
,,,4890,普陀,长风,33.53㎡,1室1厅1卫,"
            自如          "
,,,4000,浦东,惠南,113.74㎡,3室2厅2卫,"
            链家          "
,,,4490,虹口,四川北路,24.59㎡,1室1厅1卫,"
            自如          "
,,,6400,闵行,莘庄北广场,75.40㎡,3室1厅1卫,"
            链家          "
,,,5100,普陀,长寿路,37.83㎡,1室1厅1卫,"
            链家          "
,,,5000,宝山,罗店,96.91㎡,3室2厅2卫,"
            链家          "
,,,8900,静安,大宁,95.66㎡,3室2厅1卫,"
            链家          "
,,,2070,浦东,临港新城,54.78㎡,1室1厅1卫,"
            链家          "
,,,27700,浦东,陆家嘴,126.39㎡,2室2厅2卫,"
            链家          "
,,,5600,徐汇,徐家汇,53.00㎡,2室1厅1卫,"
            链家          "
,,,5690,长宁,新华路,,南,"
            自如          "
,,,16000,闵行,颛桥,148.78㎡,4室2厅2卫,"
            链家          "
,,,7150,虹口,江湾镇,57.90㎡,2室1厅1卫,"
            链家          "
,,,5000,宝山,上大,80.00㎡,3室1厅1卫,"
            链家          "
,,,5000,嘉定,南翔,68.47㎡,2室1厅1卫,"
            链家          "
,,,8400,杨浦,周家嘴路,92.00㎡,2室2厅1卫,"
            链家          "
,,,5430,普陀,万里,,南,"
            自如          "
,,,6500,普陀,真如,75.92㎡,2室1厅1卫,"
            链家          "
,,,4500,浦东,碧云,63.79㎡,1室1厅1卫,"
            链家          "
,,,5588,闵行,颛桥,84.80㎡,2室1厅1卫,"
            链家          "
,,,5000,徐汇,万体馆,32.00㎡,1室1厅1卫,"
            链家          "
,,,9800,浦东,张江,89.00㎡,3室1厅1卫,"
            链家          "
,,,6200,松江,松江老城,128.80㎡,2室2厅2卫,"
            链家          "
,,,13000,浦东,碧云,97.00㎡,2室2厅1卫,"
            链家          "
,,,7000,青浦,徐泾,92.00㎡,3室2厅2卫,"
            链家          "
,,,3600,嘉定,南翔,43.00㎡,2室2厅1卫,"
            链家          "
,,,9500,松江,松江新城,91.01㎡,2室2厅2卫,"
            链家          "
,,,1000,金山,金山新城,38.65㎡,1室1厅1卫,"
            链家          "
,,,3200,松江,松江大学城,50.00㎡,1室1厅1卫,"
            链家          "
,,,27000,闵行,华漕,261.80㎡,4室2厅4卫,"
            链家          "
,,,10000,静安,静安寺,43.69㎡,1室1厅1卫,"
            链家          "
,,,4200,浦东,陆家嘴,36.36㎡,1室1厅1卫,"
            链家          "
,,,2930,宝山,顾村,,东,"
            自如          "
,,,75000,长宁,镇宁路,264.37㎡,4室2厅3卫,"
            链家          "
,,,76000,长宁,西郊,272.23㎡,5室3厅5卫,"
            链家          "
,,,6030,普陀,长寿路,39.54㎡,1室1厅1卫,"
            自如          "
,,,5300,宝山,杨行,81.43㎡,2室2厅1卫,"
            链家          "
,,,5000,嘉定,南翔,86.58㎡,2室2厅1卫,"
            链家          "
,,,3200,浦东,周浦,71.00㎡,3室1厅1卫,"
            链家          "
,,,6360,普陀,真光,,南,"
            自如          "
,,,4500,浦东,外高桥,89.64㎡,3室1厅1卫,"
            链家          "
,,,4200,普陀,桃浦,53.43㎡,2室1厅1卫,"
            链家          "
,,,4390,虹口,鲁迅公园,,东,"
            自如          "
,,,6800,宝山,顾村,81.72㎡,3室2厅1卫,"
            链家          "
,,,5200,浦东,金杨,54.72㎡,2室1厅1卫,"
            链家          "
,,,6560,浦东,三林,,南,"
            自如          "
,,,4200,嘉定,嘉定新城,54.32㎡,1室1厅1卫,"
            链家          "
,,,5630,松江,九亭,,南,"
            自如          "
,,,4630,杨浦,黄兴公园,,南,"
            自如          "
,,,5860,浦东,源深,,南,"
            自如          "
,,,4600,浦东,塘桥,39.39㎡,1室1厅1卫,"
            链家          "
,,,5200,浦东,三林,57.61㎡,1室1厅1卫,"
            链家          "
,,,7030,浦东,陆家嘴,,南,"
            自如          "
,,,7700,松江,九亭,143.00㎡,4室3厅3卫,"
            链家          "
,,,8000,松江,九亭,136.84㎡,3室2厅2卫,"
            链家          "
,,,5500,闵行,龙柏,67.12㎡,2室1厅1卫,"
            链家          "
,,,10159,徐汇,徐家汇,,西,"
            自如          "
,,,6000,普陀,曹杨,39.75㎡,1室1厅1卫,"
            链家          "
,,,5300,浦东,曹路,87.06㎡,3室1厅1卫,"
            链家          "
,,,4000,闵行,老闵行,82.33㎡,2室2厅1卫,"
            链家          "
,,,22189,静安,曹家渡,212.76㎡,3室1厅2卫,"
            自如          "
,,,4500,徐汇,华东理工,47.55㎡,1室1厅1卫,"
            链家          "
,,,60000,青浦,徐泾,497.69㎡,5室2厅5卫,"
            链家          "
,,,13000,浦东,杨思前滩,86.50㎡,2室1厅2卫,"
            链家          "
,,,12000,长宁,天山,62.53㎡,1室1厅1卫,"
            链家          "
,,,4700,浦东,金桥,63.21㎡,2室1厅1卫,"
            链家          "
,,,4320,嘉定,安亭,111.67㎡,3室2厅1卫,"
            链家          "
,,,8000,嘉定,安亭,135.73㎡,3室1厅2卫,"
            链家          "
,,,6990,浦东,御桥,,南,"
            自如          "
,,,5200,浦东,南码头,55.98㎡,2室2厅1卫,"
            链家          "
,,,5090,普陀,长寿路,,南,"
            自如          "
,,,13500,虹口,北外滩,97.98㎡,2室1厅1卫,"
            链家          "
,,,4500,浦东,金桥,59.47㎡,2室1厅1卫,"
            链家          "
,,,5500,青浦,朱家角,92.00㎡,3室2厅2卫,"
            链家          "
,,,6130,杨浦,黄兴公园,,南,"
            自如          "
,,,6800,普陀,长寿路,54.79㎡,2室0厅1卫,"
            链家          "
,,,2200,崇明,陈家镇,109.00㎡,3室1厅1卫,"
            链家          "
,,,3600,奉贤,南桥,82.48㎡,2室1厅1卫,"
            链家          "
,,,19000,松江,泗泾,679.09㎡,5室2厅4卫,"
            链家          "
,,,4550,奉贤,奉贤金汇,129.40㎡,4室2厅3卫,"
            链家          "
,,,5800,静安,南京西路,42.99㎡,1室1厅1卫,"
            链家          "
,,,6000,宝山,上大,94.60㎡,2室2厅1卫,"
            链家          "
,,,2780,浦东,惠南,58.00㎡,1室1厅1卫,"
            链家          "
,,,23000,黄浦,老西门,164.39㎡,4室2厅2卫,"
            链家          "
,,,6300,静安,曹家渡,55.56㎡,1室1厅1卫,"
            链家          "
,,,3990,宝山,顾村,,南,"
            自如          "
,,,5300,浦东,世博,63.00㎡,2室1厅1卫,"
            链家          "
,,,9600,浦东,张江,114.95㎡,2室2厅1卫,"
            链家          "
,,,7190,闵行,金汇,,南,"
            自如          "
,,,4890,普陀,甘泉宜川,,南,"
            自如          "
,,,3200,浦东,惠南,92.78㎡,3室1厅1卫,"
            链家          "
,,,4490,宝山,高境,60.00㎡,1室1厅1卫,"
            自如          "
,,,3400,嘉定,徐行,84.64㎡,3室2厅1卫,"
            链家          "
,,,2500,浦东,书院镇,89.86㎡,3室1厅1卫,"
            链家          "
,,,4400,普陀,长寿路,31.47㎡,1室1厅1卫,"
            链家          "
,,,16980,黄浦,五里桥,189.77㎡,3室1厅2卫,"
            链家          "
,,,5490,普陀,真如,57.88㎡,2室1厅1卫,"
            自如          "
,,,4300,奉贤,西渡,87.88㎡,3室2厅1卫,"
            链家          "
,,,8500,浦东,花木,66.05㎡,2室1厅1卫,"
            链家          "
,,,3600,松江,松江大学城,59.00㎡,1室1厅1卫,"
            链家          "
,,,4830,长宁,新华路,,北,"
            自如          "
,,,4060,浦东,世博,,西,"
            自如          "
,,,7600,浦东,御桥,85.00㎡,3室1厅1卫,"
            链家          "
,,,6100,长宁,虹桥,47.22㎡,2室1厅1卫,"
            链家          "
,,,5330,徐汇,徐家汇,,南,"
            自如          "
,,,11500,松江,莘闵别墅,221.94㎡,4室2厅3卫,"
            链家          "
,,,5600,徐汇,徐家汇,32.90㎡,1室1厅1卫,"
            链家          "
,,,1900,金山,金山新城,81.34㎡,2室1厅1卫,"
            链家          "
,,,700,崇明,崇明其它,79.85㎡,2室1厅1卫,"
            链家          "
,,,3300,崇明,长兴岛,120.00㎡,3室2厅2卫,"
            链家          "
,,,3900,嘉定,安亭,89.49㎡,3室2厅1卫,"
            链家          "
,,,6160,浦东,梅园,,南,"
            自如          "
,,,3190,嘉定,嘉定老城,,南,"
            自如          "
,,,8300,普陀,长征,99.37㎡,3室2厅1卫,"
            链家          "
,,,2800,松江,松江大学城,45.00㎡,1室1厅1卫,"
            链家          "
,,,15000,长宁,新华路,137.34㎡,3室2厅2卫,"
            链家          "
,,,3600,黄浦,打浦桥,16.00㎡,1室1厅1卫,"
            链家          "
,,,8000,徐汇,斜土路,64.05㎡,2室1厅1卫,"
            链家          "
,,,8000,闵行,古美,130.00㎡,3室2厅2卫,"
            链家          "
,,,4630,徐汇,龙华,,南,"
            自如          "
,,,11000,浦东,张江,87.32㎡,2室2厅1卫,"
            链家          "
,,,2500,松江,泗泾,66.40㎡,2室1厅1卫,"
            链家          "
,,,7600,浦东,北蔡,49.92㎡,1室1厅1卫,"
            链家          "
,,,9200,静安,不夜城,120.00㎡,2室2厅1卫,"
            链家          "
,,,4130,静安,彭浦,53.70㎡,2室1厅1卫,"
            自如          "
,,,6500,徐汇,植物园,64.00㎡,2室1厅1卫,"
            链家          "
,,,20000,松江,莘闵别墅,355.00㎡,4室2厅2卫,"
            链家          "
,,,4190,虹口,凉城,,南,"
            自如          "
,,,3200,嘉定,安亭,90.02㎡,3室1厅1卫,"
            链家          "
,,,4590,杨浦,鞍山,,南,"
            自如          "
,,,5000,虹口,北外滩,29.70㎡,1室0厅1卫,"
            链家          "
,,,6700,宝山,通河,114.46㎡,3室1厅1卫,"
            链家          "
,,,4500,松江,泗泾,80.50㎡,2室2厅1卫,"
            链家          "
,,,18000,徐汇,徐家汇,137.78㎡,3室2厅2卫,"
            链家          "
,,,4630,长宁,新华路,,南,"
            自如          "
,,,5060,宝山,顾村,,南,"
            自如          "
,,,4500,浦东,三林,68.00㎡,2室1厅1卫,"
            链家          "
,,,6500,静安,静安寺,24.40㎡,1室1厅1卫,"
            链家          "
,,,11000,浦东,花木,116.09㎡,3室2厅1卫,"
            链家          "
,,,7300,杨浦,鞍山,71.49㎡,2室1厅1卫,"
            链家          "
,,,2350,奉贤,海湾,62.58㎡,2室1厅1卫,"
            链家          "
,,,8400,宝山,大华,128.95㎡,3室2厅1卫,"
            链家          "
,,,4300,嘉定,徐行,120.00㎡,4室2厅1卫,"
            链家          "
,,,3200,嘉定,徐行,89.35㎡,3室2厅1卫,"
            链家          "
,,,5890,浦东,三林,,南,"
            自如          "
,,,14500,长宁,天山,104.64㎡,2室2厅2卫,"
            链家          "
,,,5030,普陀,光新,,南,"
            自如          "
,,,2433,崇明,崇明新城,99.07㎡,3室1厅1卫,"
            链家          "
,,,5300,浦东,高东,93.00㎡,2室1厅1卫,"
            链家          "
,,,3000,浦东,川沙,102.00㎡,3室2厅1卫,"
            链家          "
,,,25000,闵行,华漕,222.71㎡,4室2厅3卫,"
            链家          "
,,,5200,静安,不夜城,52.96㎡,1室1厅1卫,"
            链家          "
,,,4690,普陀,甘泉宜川,,南,"
            自如          "
,,,4830,宝山,高境,42.62㎡,1室1厅1卫,"
            自如          "
,,,2250,嘉定,嘉定新城,39.10㎡,1室1厅1卫,"
            链家          "
,,,8445,虹口,临平路,107.37㎡,2室2厅1卫,"
            自如          "
,,,6660,徐汇,龙华,46.31㎡,2室1厅1卫,"
            自如          "
,,,16000,黄浦,打浦桥,157.63㎡,3室2厅2卫,"
            链家          "
,,,3200,嘉定,安亭,90.02㎡,3室1厅1卫,"
            链家          "
,,,5000,虹口,北外滩,29.70㎡,1室0厅1卫,"
            链家          "
,,,6700,宝山,通河,114.46㎡,3室1厅1卫,"
            链家          "
,,,5290,长宁,新华路,,南,"
            自如          "
,,,4500,松江,泗泾,80.50㎡,2室2厅1卫,"
            链家          "
,,,18000,徐汇,徐家汇,137.78㎡,3室2厅2卫,"
            链家          "
,,,3790,虹口,江湾镇,,南,"
            自如          "
,,,4500,浦东,三林,68.00㎡,2室1厅1卫,"
            链家          "
,,,5130,浦东,北蔡,,南,"
            自如          "
,,,6500,静安,静安寺,24.40㎡,1室1厅1卫,"
            链家          "
,,,11000,浦东,花木,116.09㎡,3室2厅1卫,"
            链家          "
,,,7300,杨浦,鞍山,71.49㎡,2室1厅1卫,"
            链家          "
,,,3870,虹口,曲阳,,南,"
            自如          "
,,,2350,奉贤,海湾,62.58㎡,2室1厅1卫,"
            链家          "
,,,8400,宝山,大华,128.95㎡,3室2厅1卫,"
            链家          "
,,,4300,嘉定,徐行,120.00㎡,4室2厅1卫,"
            链家          "
,,,4390,虹口,凉城,,南,"
            自如          "
,,,5860,长宁,北新泾,,南,"
            自如          "
,,,3200,嘉定,徐行,89.35㎡,3室2厅1卫,"
            链家          "
,,,14500,长宁,天山,104.64㎡,2室2厅2卫,"
            链家          "
,,,2433,崇明,崇明新城,99.07㎡,3室1厅1卫,"
            链家          "
,,,5300,浦东,高东,93.00㎡,2室1厅1卫,"
            链家          "
,,,3000,浦东,川沙,102.00㎡,3室2厅1卫,"
            链家          "
,,,5130,长宁,北新泾,,南,"
            自如          "
,,,25000,闵行,华漕,222.71㎡,4室2厅3卫,"
            链家          "
,,,5200,静安,不夜城,52.96㎡,1室1厅1卫,"
            链家          "
,,,10660,杨浦,新江湾城,,南,"
            自如          "
,,,2490,嘉定,安亭,56.11㎡,1室1厅1卫,"
            自如          "
,,,4860,嘉定,江桥,60.67㎡,1室1厅1卫,"
            自如          "
,,,2320,嘉定,外冈,163.35㎡,2室1厅1卫,"
            链家          "
,,,14000,徐汇,漕河泾,121.07㎡,3室2厅1卫,"
            链家          "
,,,10600,浦东,世博,93.00㎡,2室2厅1卫,"
            链家          "
,,,6890,杨浦,中原,,南,"
            自如          "
,,,8000,浦东,杨思前滩,56.84㎡,1室1厅1卫,"
            链家          "
,,,4690,普陀,曹杨,,南,"
            自如          "
,,,5460,浦东,陆家嘴,,南,"
            自如          "
,,,2630,嘉定,安亭,,北,"
            自如          "
,,,5030,闵行,莘庄南广场,,南,"
            自如          "
,,,5300,普陀,长寿路,43.00㎡,1室1厅1卫,"
            链家          "
,,,5090,宝山,上大,,南,"
            自如          "
,,,1400,金山,金山新城,46.15㎡,2室1厅1卫,"
            链家          "
,,,7730,黄浦,蓬莱公园,,西,"
            自如          "
,,,5700,浦东,周浦,157.52㎡,3室2厅2卫,"
            链家          "
,,,3960,宝山,淞宝,49.00㎡,2室1厅1卫,"
            自如          "
,,,5400,普陀,光新,53.13㎡,2室1厅1卫,"
            链家          "
,,,3600,闵行,老闵行,58.20㎡,2室1厅1卫,"
            链家          "
,,,6700,浦东,世博,78.50㎡,3室1厅1卫,"
            链家          "
,,,5800,浦东,杨思前滩,63.62㎡,3室2厅1卫,"
            链家          "
,,,4430,闵行,老闵行,80.97㎡,2室1厅1卫,"
            自如          "
,,,3600,虹口,江湾镇,54.52㎡,1室1厅1卫,"
            链家          "
,,,10000,浦东,世博,87.24㎡,2室2厅1卫,"
            链家          "
,,,3300,奉贤,南桥,84.99㎡,2室2厅1卫,"
            链家          "
,,,2200,闵行,闵浦,55.90㎡,1室1厅1卫,"
            链家          "
,,,4300,普陀,光新,37.95㎡,1室0厅1卫,"
            链家          "
,,,6500,浦东,梅园,46.80㎡,2室1厅1卫,"
            链家          "
,,,7900,徐汇,龙华,78.91㎡,2室1厅1卫,"
            链家          "
,,,9000,青浦,赵巷,158.41㎡,3室2厅2卫,"
            链家          "
,,,6000,闵行,莘庄南广场,90.63㎡,3室1厅1卫,"
            链家          "
,,,100000,浦东,陆家嘴,380.22㎡,4室2厅3卫,"
            链家          "
,,,6500,浦东,洋泾,60.00㎡,2室1厅1卫,"
            链家          "
,,,32800,虹口,临平路,175.06㎡,4室2厅2卫,"
            链家          "
,,,12500,浦东,梅园,72.97㎡,1室2厅1卫,"
            链家          "
,,,2300,金山,金山新城,118.03㎡,2室2厅1卫,"
            链家          "
,,,4000,嘉定,菊园新区,81.00㎡,2室2厅1卫,"
            链家          "
,,,3960,松江,松江大学城,,南,"
            自如          "
,,,7000,杨浦,黄兴公园,86.92㎡,2室1厅1卫,"
            链家          "
,,,6960,长宁,镇宁路,,南,"
            自如          "
,,,3100,闵行,莘庄北广场,41.48㎡,1室1厅1卫,"
            链家          "
,,,4000,静安,闸北公园,32.36㎡,1室0厅1卫,"
            链家          "
,,,4200,闵行,老闵行,60.30㎡,2室1厅1卫,"
            链家          "
,,,4800,普陀,甘泉宜川,44.90㎡,2室0厅1卫,"
            链家          "
,,,4500,奉贤,海湾,201.60㎡,5室2厅3卫,"
            链家          "
,,,12000,奉贤,海湾,381.00㎡,4室2厅3卫,"
            链家          "
,,,9330,静安,静安寺,,南,"
            自如          "
,,,5200,松江,松江新城,64.29㎡,3室2厅2卫,"
            链家          "
,,,4590,徐汇,上海南站,,南,"
            自如          "
,,,5519,长宁,北新泾,,南,"
            自如          "
,,,3000,闵行,闵浦,54.74㎡,1室1厅1卫,"
            链家          "
,,,4000,闵行,闵浦,71.00㎡,2室1厅1卫,"
            链家          "
,,,5130,普陀,真如,,南,"
            自如          "
,,,3300,杨浦,控江路,31.45㎡,1室1厅1卫,"
            链家          "
,,,50000,静安,苏河湾,216.00㎡,2室2厅2卫,"
            链家          "
,,,4590,徐汇,徐家汇,,南,"
            自如          "
,,,5000,松江,松江大学城,90.14㎡,2室2厅1卫,"
            链家          "
,,,62000,浦东,陆家嘴,159.39㎡,3室2厅2卫,"
            链家          "
,,,3100,浦东,泥城镇,81.74㎡,2室2厅2卫,"
            链家          "
,,,4490,虹口,曲阳,38.20㎡,1室1厅1卫,"
            自如          "
,,,11590,静安,大宁,142.06㎡,3室1厅2卫,"
            自如          "
,,,7500,松江,洞泾,120.71㎡,5室2厅3卫,"
            链家          "
,,,4930,闵行,华漕,,南,"
            自如          "
,,,4030,虹口,凉城,,南,"
            自如          "
,,,8600,浦东,杨思前滩,63.63㎡,1室1厅1卫,"
            链家          "
,,,4800,长宁,北新泾,33.29㎡,1室0厅1卫,"
            链家          "
,,,29600,闵行,颛桥,287.43㎡,4室2厅4卫,"
            链家          "
,,,9000,静安,静安寺,31.90㎡,2室1厅1卫,"
            链家          "
,,,500,崇明,陈家镇,97.58㎡,2室2厅1卫,"
            链家          "
,,,8830,黄浦,世博滨江,,南,"
            自如          "
,,,5160,长宁,虹桥,,南,"
            自如          "
,,,5600,普陀,武宁,42.58㎡,1室0厅1卫,"
            链家          "
,,,11370,青浦,赵巷,415.59㎡,4室3厅4卫,"
            链家          "
,,,4500,金山,金山新城,136.93㎡,3室2厅1卫,"
            链家          "
,,,4000,徐汇,华东理工,31.30㎡,1室1厅1卫,"
            链家          "
,,,3930,浦东,金桥,,北,"
            自如          "
,,,7800,浦东,杨思前滩,94.15㎡,3室1厅2卫,"
            链家          "
,,,2700,宝山,顾村,38.00㎡,1室1厅1卫,"
            链家          "
,,,2300,浦东,惠南,57.99㎡,1室1厅1卫,"
            链家          "
,,,1000,崇明,崇明新城,54.32㎡,2室1厅1卫,"
            链家          "
,,,2200,宝山,罗店,126.00㎡,3室2厅2卫,"
            链家          "
,,,4890,青浦,徐泾,,南,"
            自如          "
,,,8990,长宁,镇宁路,,南,"
            自如          "
,,,6989,长宁,中山公园,,西南,"
            自如          "
,,,4330,浦东,金桥,40.71㎡,1室1厅1卫,"
            自如          "
,,,29000,闵行,颛桥,220.43㎡,4室2厅4卫,"
            链家          "
,,,11000,青浦,徐泾,103.00㎡,3室2厅2卫,"
            链家          "
,,,6590,浦东,御桥,80.80㎡,2室1厅1卫,"
            自如          "
,,,4830,闵行,闵浦,76.55㎡,2室1厅1卫,"
            自如          "
,,,35000,长宁,西郊,307.37㎡,5室3厅4卫,"
            链家          "
,,,6000,长宁,仙霞,50.85㎡,2室1厅1卫,"
            链家          "
,,,8900,浦东,金桥,105.95㎡,2室2厅1卫,"
            链家          "
,,,8800,徐汇,康健,83.87㎡,2室1厅1卫,"
            链家          "
,,,5730,嘉定,嘉定新城,,南,"
            自如          "
,,,9600,松江,九亭,136.71㎡,3室2厅2卫,"
            链家          "
,,,4890,杨浦,鞍山,,南,"
            自如          "
,,,6660,徐汇,华东理工,,南,"
            自如          "
,,,2000,奉贤,南桥,80.83㎡,2室2厅1卫,"
            链家          "
,,,1300,崇明,陈家镇,110.00㎡,3室2厅1卫,"
            链家          "
,,,2200,奉贤,奉贤金汇,66.52㎡,2室1厅1卫,"
            链家          "
,,,5000,嘉定,安亭,93.46㎡,3室2厅1卫,"
            链家          "
,,,4660,杨浦,控江路,,南,"
            自如          "
,,,3600,黄浦,淮海中路,16.70㎡,1室0厅1卫,"
            链家          "
,,,8560,浦东,北蔡,,南,"
            自如          "
,,,5330,浦东,洋泾,,南,"
            自如          "
,,,3100,浦东,周浦,94.48㎡,3室2厅1卫,"
            链家          "
,,,13000,青浦,朱家角,168.11㎡,4室2厅3卫,"
            链家          "
,,,4740,浦东,洋泾,,南,"
            自如          "
,,,3000,宝山,淞宝,51.96㎡,2室0厅1卫,"
            链家          "
,,,3000,奉贤,海湾,198.00㎡,3室1厅1卫,"
            链家          "
,,,5230,静安,大宁,,北,"
            自如          "
,,,2800,青浦,盈浦,66.00㎡,3室1厅1卫,"
            链家          "
,,,7600,嘉定,安亭,193.00㎡,3室0厅2卫,"
            链家          "
,,,4500,杨浦,鞍山,44.63㎡,1室0厅1卫,"
            链家          "
,,,5130,闵行,老闵行,,南,"
            自如          "
,,,23000,浦东,金桥,320.00㎡,8室3厅3卫,"
            链家          "
,,,8000,浦东,张江,143.63㎡,4室2厅2卫,"
            链家          "
,,,5700,浦东,杨思前滩,91.17㎡,2室1厅1卫,"
            链家          "
,,,4830,普陀,甘泉宜川,,南,"
            自如          "
,,,5500,杨浦,黄兴公园,62.29㎡,2室2厅1卫,"
            链家          "
,,,5290,普陀,武宁,,西,"
            自如          "
,,,650,崇明,崇明新城,60.00㎡,1室1厅1卫,"
            链家          "
泊寓,独栋,【携程实习不焦虑】,2114,,,1室0厅1卫,,"
            泊寓          "
,,,3600,浦东,临港新城,96.00㎡,3室2厅2卫,"
            链家          "
,,,16000,青浦,徐泾,144.12㎡,3室2厅2卫,"
            链家          "
,,,2500,浦东,新场,88.43㎡,2室2厅1卫,"
            链家          "
泊寓,独栋,【可短租】过渡首选，毕业找房不焦虑，送大额搬家券,2055,,,1室0厅1卫,,"
            泊寓          "
,,,32000,浦东,陆家嘴,242.74㎡,3室2厅3卫,"
            链家          "
,,,6500,黄浦,五里桥,48.24㎡,2室1厅1卫,"
            链家          "
,,,6500,杨浦,新江湾城,63.00㎡,2室1厅1卫,"
            链家          "
,,,3400,宝山,杨行,59.96㎡,1室1厅1卫,"
            链家          "
,,,4800,青浦,夏阳,90.00㎡,2室2厅1卫,"
            链家          "
,,,5700,闵行,老闵行,106.70㎡,3室2厅2卫,"
            链家          "
,,,7500,黄浦,淮海中路,50.00㎡,2室0厅1卫,"
            链家          "
,,,5000,静安,南京西路,19.80㎡,1室0厅1卫,"
            链家          "
,,,6800,闵行,金虹桥,65.09㎡,2室1厅1卫,"
            链家          "
,,,11500,宝山,顾村,189.31㎡,5室2厅3卫,"
            链家          "
泊寓,独栋,【携程实习生特惠活动】租房福利大放送:超低折扣好房,2566,,,1室1厅1卫,,"
            泊寓          "
泊寓,独栋,【(朝南无遮挡阳光房】真不是凡尔赛,2311,,,1室1厅1卫,,"
            泊寓          "
,,,4300,青浦,朱家角,95.20㎡,2室2厅1卫,"
            链家          "
泊寓,独栋,【携程实习生安心租】7天无忧退房,1859,,,1室1厅1卫,,"
            泊寓          "
泊寓,独栋,【标价基础上当日签约再降300元】错过等一年！618超值钜惠,4668,,,1室0厅1卫,,"
            泊寓          "
,,,65000,青浦,徐泾,622.25㎡,5室2厅5卫,"
            链家          "
泊寓,独栋,【虹桥】保租房可提公积金,2748,,,1室0厅1卫,,"
            泊寓          "
,,,3950,浦东,金桥,58.47㎡,2室1厅1卫,"
            链家          "
,,,2800,崇明,陈家镇,75.53㎡,2室1厅1卫,"
            链家          "
,,,6888,闵行,七宝,64.85㎡,2室1厅1卫,"
            链家          "
泊寓,独栋,【温暖阳光房】畅享免费3天住，温馨一居隔音好，10分钟达到虹桥商圈,2518,,,1室0厅1卫,,"
            泊寓          "
泊寓,独栋,毕业找工作,4100,,,1室0厅1卫,,"
            泊寓          "
泊寓,独栋,【暖你一冬】押一付一,2588,,,1室0厅1卫,,"
            泊寓          "
泊寓,独栋,【灵活租期】押一付一,2680,,,1室0厅1卫,,"
            泊寓          "
,,,27000,闵行,华漕,262.00㎡,4室2厅4卫,"
            链家          "
,,,1100,金山,金山新城,80.00㎡,2室2厅1卫,"
            链家          "
,,,2500,嘉定,嘉定老城,54.16㎡,2室1厅1卫,"
            链家          "
,,,5030,徐汇,斜土路,,南,"
            自如          "
,,,68000,浦东,梅园,274.37㎡,3室2厅2卫,"
            链家          "
,,,4400,嘉定,嘉定新城,107.00㎡,3室1厅1卫,"
            链家          "
,,,4030,杨浦,中原,,南,"
            自如          "
,,,5090,浦东,北蔡,,南,"
            自如          "
,,,7360,静安,静安寺,,东,"
            自如          "
,,,4660,杨浦,东外滩,,北,"
            自如          "
,,,4760,松江,松江大学城,,南,"
            自如          "
,,,5500,徐汇,徐家汇,35.66㎡,1室1厅1卫,"
            链家          "
,,,6190,浦东,塘桥,,西,"
            自如          "
,,,12000,青浦,夏阳,248.54㎡,5室2厅4卫,"
            链家          "
,,,4400,虹口,临平路,34.80㎡,1室1厅1卫,"
            链家          "
,,,5430,静安,西藏北路,,南,"
            自如          "
,,,4550,静安,彭浦,,南,"
            自如          "
,,,6189,浦东,杨思前滩,,南,"
            自如          "
,,,4200,徐汇,徐家汇,20.00㎡,1室0厅1卫,"
            链家          "
,,,5830,浦东,源深,,南,"
            自如          "
,,,8200,闵行,金汇,77.58㎡,2室2厅2卫,"
            链家          "
,,,4590,杨浦,五角场,31.60㎡,1室1厅1卫,"
            自如          "
,,,4960,杨浦,五角场,44.53㎡,1室1厅1卫,"
            自如          "
,,,6500,虹口,北外滩,70.00㎡,2室1厅1卫,"
            链家          "
,,,14700,黄浦,新天地,78.00㎡,2室2厅2卫,"
            链家          "
,,,3800,闵行,老闵行,55.59㎡,2室1厅1卫,"
            链家          "
,,,4360,浦东,世博,32.49㎡,1室1厅1卫,"
            自如          "
,,,4060,闵行,春申,41.00㎡,1室1厅1卫,"
            自如          "
,,,8000,嘉定,南翔,105.91㎡,3室2厅1卫,"
            链家          "
,,,6500,徐汇,田林,77.12㎡,2室1厅1卫,"
            链家          "
,,,4830,徐汇,长桥,34.00㎡,1室1厅1卫,"
            自如          "
,,,8000,徐汇,斜土路,64.05㎡,2室1厅1卫,"
            链家          "
,,,8000,闵行,古美,130.00㎡,3室2厅2卫,"
            链家          "
菁舍,独栋,2号线直达张江,2369-2605,,,1室1厅1卫,,"
            菁舍          "
,,,11000,浦东,张江,87.32㎡,2室2厅1卫,"
            链家          "
,,,2500,松江,泗泾,66.40㎡,2室1厅1卫,"
            链家          "
,,,7600,浦东,北蔡,49.92㎡,1室1厅1卫,"
            链家          "
,,,9200,静安,不夜城,120.00㎡,2室2厅1卫,"
            链家          "
,,,6500,徐汇,植物园,64.00㎡,2室1厅1卫,"
            链家          "
菁舍,独栋,保障型住房，民用水电，可办居住证，整租一室一厅，独立卫浴，宠物友好，拎包入住,2500,,,1室1厅1卫,,"
            菁舍          "
,,,20000,松江,莘闵别墅,355.00㎡,4室2厅2卫,"
            链家          "
,,,4200,松江,新桥,114.14㎡,3室2厅2卫,"
            链家          "
